context: Fixed Synced by bozxphd.Enjoy The Flick response:	Dropping troops at rally point.
context: I am pushing!\It's darn heavy!\Tamayaaa!\It's really beautiful!\Come to think of it,\can we really kill him tomorrow?\We have no choice but to do it!\Well, we gave good results in the end-of-terms exams. response:	You can do it if you try. I remember Ms Yukimura said that.
context: It's darn heavy!\Tamayaaa!\It's really beautiful!\Come to think of it,\can we really kill him tomorrow?\We have no choice but to do it!\Well, we gave good results in the end-of-terms exams.\You can do it if you try. I remember Ms Yukimura said that. response:	Hmm? Yukimura?
context: Tamayaaa!\It's really beautiful!\Come to think of it,\can we really kill him tomorrow?\We have no choice but to do it!\Well, we gave good results in the end-of-terms exams.\You can do it if you try. I remember Ms Yukimura said that.\Hmm? Yukimura? response:	Remember?
context: It's really beautiful!\Come to think of it,\can we really kill him tomorrow?\We have no choice but to do it!\Well, we gave good results in the end-of-terms exams.\You can do it if you try. I remember Ms Yukimura said that.\Hmm? Yukimura?\Remember? response:	Towards the end of our second year, we had a female firm teacher.
context: Come to think of it,\can we really kill him tomorrow?\We have no choice but to do it!\Well, we gave good results in the end-of-terms exams.\You can do it if you try. I remember Ms Yukimura said that.\Hmm? Yukimura?\Remember?\Towards the end of our second year, we had a female firm teacher. response:	Even though we're at E Class, she's the teacher that said we can do it if we try!
context: can we really kill him tomorrow?\We have no choice but to do it!\Well, we gave good results in the end-of-terms exams.\You can do it if you try. I remember Ms Yukimura said that.\Hmm? Yukimura?\Remember?\Towards the end of our second year, we had a female firm teacher.\Even though we're at E Class, she's the teacher that said we can do it if we try! response:	Ah! Her! I remember she was really friendly!
context: We have no choice but to do it!\Well, we gave good results in the end-of-terms exams.\You can do it if you try. I remember Ms Yukimura said that.\Hmm? Yukimura?\Remember?\Towards the end of our second year, we had a female firm teacher.\Even though we're at E Class, she's the teacher that said we can do it if we try!\Ah! Her! I remember she was really friendly! response:	Yeah.
context: Well, we gave good results in the end-of-terms exams.\You can do it if you try. I remember Ms Yukimura said that.\Hmm? Yukimura?\Remember?\Towards the end of our second year, we had a female firm teacher.\Even though we're at E Class, she's the teacher that said we can do it if we try!\Ah! Her! I remember she was really friendly!\Yeah. response:	But wait. She's not here anymore when we became senior.
context: You can do it if you try. I remember Ms Yukimura said that.\Hmm? Yukimura?\Remember?\Towards the end of our second year, we had a female firm teacher.\Even though we're at E Class, she's the teacher that said we can do it if we try!\Ah! Her! I remember she was really friendly!\Yeah.\But wait. She's not here anymore when we became senior. response:	Where'd she go?
context: Hmm? Yukimura?\Remember?\Towards the end of our second year, we had a female firm teacher.\Even though we're at E Class, she's the teacher that said we can do it if we try!\Ah! Her! I remember she was really friendly!\Yeah.\But wait. She's not here anymore when we became senior.\Where'd she go? response:	Beats me.
context: Remember?\Towards the end of our second year, we had a female firm teacher.\Even though we're at E Class, she's the teacher that said we can do it if we try!\Ah! Her! I remember she was really friendly!\Yeah.\But wait. She's not here anymore when we became senior.\Where'd she go?\Beats me. response:	I guess we didn't really care.
context: Towards the end of our second year, we had a female firm teacher.\Even though we're at E Class, she's the teacher that said we can do it if we try!\Ah! Her! I remember she was really friendly!\Yeah.\But wait. She's not here anymore when we became senior.\Where'd she go?\Beats me.\I guess we didn't really care. response:	Probably...
context: Even though we're at E Class, she's the teacher that said we can do it if we try!\Ah! Her! I remember she was really friendly!\Yeah.\But wait. She's not here anymore when we became senior.\Where'd she go?\Beats me.\I guess we didn't really care.\Probably... response:	Tamayaaa!
context: Ah! Her! I remember she was really friendly!\Yeah.\But wait. She's not here anymore when we became senior.\Where'd she go?\Beats me.\I guess we didn't really care.\Probably...\Tamayaaa! response:	Because we had a new teacher.
context: Yeah.\But wait. She's not here anymore when we became senior.\Where'd she go?\Beats me.\I guess we didn't really care.\Probably...\Tamayaaa!\Because we had a new teacher. response:	True.
context: But wait. She's not here anymore when we became senior.\Where'd she go?\Beats me.\I guess we didn't really care.\Probably...\Tamayaaa!\Because we had a new teacher.\True. response:	So tomorrow's the day.
context: Where'd she go?\Beats me.\I guess we didn't really care.\Probably...\Tamayaaa!\Because we had a new teacher.\True.\So tomorrow's the day. response:	Everyone.
context: Beats me.\I guess we didn't really care.\Probably...\Tamayaaa!\Because we had a new teacher.\True.\So tomorrow's the day.\Everyone. response:	I'm looking forward for your all out assassination.
context: I guess we didn't really care.\Probably...\Tamayaaa!\Because we had a new teacher.\True.\So tomorrow's the day.\Everyone.\I'm looking forward for your all out assassination. response:	Especially your serious efforts of creativity and ingenuity.
context: Probably...\Tamayaaa!\Because we had a new teacher.\True.\So tomorrow's the day.\Everyone.\I'm looking forward for your all out assassination.\Especially your serious efforts of creativity and ingenuity. response:	I can't help but feel excited what you have in store for me.
context: Tamayaaa!\Because we had a new teacher.\True.\So tomorrow's the day.\Everyone.\I'm looking forward for your all out assassination.\Especially your serious efforts of creativity and ingenuity.\I can't help but feel excited what you have in store for me. response:	Don't hold back. Come right at me.
context: Because we had a new teacher.\True.\So tomorrow's the day.\Everyone.\I'm looking forward for your all out assassination.\Especially your serious efforts of creativity and ingenuity.\I can't help but feel excited what you have in store for me.\Don't hold back. Come right at me. response:	Alright! Yeah!
context: True.\So tomorrow's the day.\Everyone.\I'm looking forward for your all out assassination.\Especially your serious efforts of creativity and ingenuity.\I can't help but feel excited what you have in store for me.\Don't hold back. Come right at me.\Alright! Yeah! response:	Let's do it!
context: So tomorrow's the day.\Everyone.\I'm looking forward for your all out assassination.\Especially your serious efforts of creativity and ingenuity.\I can't help but feel excited what you have in store for me.\Don't hold back. Come right at me.\Alright! Yeah!\Let's do it! response:	Whoa! So pretty!
context: Everyone.\I'm looking forward for your all out assassination.\Especially your serious efforts of creativity and ingenuity.\I can't help but feel excited what you have in store for me.\Don't hold back. Come right at me.\Alright! Yeah!\Let's do it!\Whoa! So pretty! response:	Tamayaaa!
context: I'm looking forward for your all out assassination.\Especially your serious efforts of creativity and ingenuity.\I can't help but feel excited what you have in store for me.\Don't hold back. Come right at me.\Alright! Yeah!\Let's do it!\Whoa! So pretty!\Tamayaaa! response:	Korosensei! Don't run until we shoot you, okay?
context: Especially your serious efforts of creativity and ingenuity.\I can't help but feel excited what you have in store for me.\Don't hold back. Come right at me.\Alright! Yeah!\Let's do it!\Whoa! So pretty!\Tamayaaa!\Korosensei! Don't run until we shoot you, okay? response:	Please be gentle with me.
context: I can't help but feel excited what you have in store for me.\Don't hold back. Come right at me.\Alright! Yeah!\Let's do it!\Whoa! So pretty!\Tamayaaa!\Korosensei! Don't run until we shoot you, okay?\Please be gentle with me. response:	Let's get started.
context: Don't hold back. Come right at me.\Alright! Yeah!\Let's do it!\Whoa! So pretty!\Tamayaaa!\Korosensei! Don't run until we shoot you, okay?\Please be gentle with me.\Let's get started. response:	Okay! Okay!
context: Alright! Yeah!\Let's do it!\Whoa! So pretty!\Tamayaaa!\Korosensei! Don't run until we shoot you, okay?\Please be gentle with me.\Let's get started.\Okay! Okay! response:	Wait! Please hold on!
context: Let's do it!\Whoa! So pretty!\Tamayaaa!\Korosensei! Don't run until we shoot you, okay?\Please be gentle with me.\Let's get started.\Okay! Okay!\Wait! Please hold on! response:	W-what's this?!
context: Whoa! So pretty!\Tamayaaa!\Korosensei! Don't run until we shoot you, okay?\Please be gentle with me.\Let's get started.\Okay! Okay!\Wait! Please hold on!\W-what's this?! response:	Once we destroyed your tentacles and your movement slowed down,
context: Tamayaaa!\Korosensei! Don't run until we shoot you, okay?\Please be gentle with me.\Let's get started.\Okay! Okay!\Wait! Please hold on!\W-what's this?!\Once we destroyed your tentacles and your movement slowed down, response:	you will be caged inside water.
context: Korosensei! Don't run until we shoot you, okay?\Please be gentle with me.\Let's get started.\Okay! Okay!\Wait! Please hold on!\W-what's this?!\Once we destroyed your tentacles and your movement slowed down,\you will be caged inside water. response:	You're weak against water, right?
