context: Hear me, humans! response:	I'll leave Ente Isla in your hands for now.
context: St-Stay over tonight?\I dropped my purse.\Hero Emilia?!\Relax.\She doesn't have the will to fight us right now.\What are you saying?\I've never heard of an Overlord bringing a Hero over late at night!\The two of us were attacked earlier. response:	We were shot at with magic energy bullets.
context: I dropped my purse.\Hero Emilia?!\Relax.\She doesn't have the will to fight us right now.\What are you saying?\I've never heard of an Overlord bringing a Hero over late at night!\The two of us were attacked earlier.\We were shot at with magic energy bullets. response:	Magic?
context: Hero Emilia?!\Relax.\She doesn't have the will to fight us right now.\What are you saying?\I've never heard of an Overlord bringing a Hero over late at night!\The two of us were attacked earlier.\We were shot at with magic energy bullets.\Magic? response:	She says she dropped her purse while running away.
context: Relax.\She doesn't have the will to fight us right now.\What are you saying?\I've never heard of an Overlord bringing a Hero over late at night!\The two of us were attacked earlier.\We were shot at with magic energy bullets.\Magic?\She says she dropped her purse while running away. response:	She lives in Eifukucho.
context: She doesn't have the will to fight us right now.\What are you saying?\I've never heard of an Overlord bringing a Hero over late at night!\The two of us were attacked earlier.\We were shot at with magic energy bullets.\Magic?\She says she dropped her purse while running away.\She lives in Eifukucho. response:	It's too far away to walk there on foot.
context: What are you saying?\I've never heard of an Overlord bringing a Hero over late at night!\The two of us were attacked earlier.\We were shot at with magic energy bullets.\Magic?\She says she dropped her purse while running away.\She lives in Eifukucho.\It's too far away to walk there on foot. response:	Does that mean you're going to let her stay the night?
context: I've never heard of an Overlord bringing a Hero over late at night!\The two of us were attacked earlier.\We were shot at with magic energy bullets.\Magic?\She says she dropped her purse while running away.\She lives in Eifukucho.\It's too far away to walk there on foot.\Does that mean you're going to let her stay the night? response:	Come on.
context: The two of us were attacked earlier.\We were shot at with magic energy bullets.\Magic?\She says she dropped her purse while running away.\She lives in Eifukucho.\It's too far away to walk there on foot.\Does that mean you're going to let her stay the night?\Come on. response:	Don't just stand there. Come in.
context: We were shot at with magic energy bullets.\Magic?\She says she dropped her purse while running away.\She lives in Eifukucho.\It's too far away to walk there on foot.\Does that mean you're going to let her stay the night?\Come on.\Don't just stand there. Come in. response:	Th-Thanks.
context: Magic?\She says she dropped her purse while running away.\She lives in Eifukucho.\It's too far away to walk there on foot.\Does that mean you're going to let her stay the night?\Come on.\Don't just stand there. Come in.\Th-Thanks. response:	Have a seat wherever.
context: She says she dropped her purse while running away.\She lives in Eifukucho.\It's too far away to walk there on foot.\Does that mean you're going to let her stay the night?\Come on.\Don't just stand there. Come in.\Th-Thanks.\Have a seat wherever. response:	Just so you know,
context: She lives in Eifukucho.\It's too far away to walk there on foot.\Does that mean you're going to let her stay the night?\Come on.\Don't just stand there. Come in.\Th-Thanks.\Have a seat wherever.\Just so you know, response:	we don't have an extra bed for guests.
context: It's too far away to walk there on foot.\Does that mean you're going to let her stay the night?\Come on.\Don't just stand there. Come in.\Th-Thanks.\Have a seat wherever.\Just so you know,\we don't have an extra bed for guests. response:	Well, obviously.
context: Does that mean you're going to let her stay the night?\Come on.\Don't just stand there. Come in.\Th-Thanks.\Have a seat wherever.\Just so you know,\we don't have an extra bed for guests.\Well, obviously. response:	Is that how you're going to repay milord's compassion?!
context: Come on.\Don't just stand there. Come in.\Th-Thanks.\Have a seat wherever.\Just so you know,\we don't have an extra bed for guests.\Well, obviously.\Is that how you're going to repay milord's compassion?! response:	Pipe down, Ashiya.
context: Don't just stand there. Come in.\Th-Thanks.\Have a seat wherever.\Just so you know,\we don't have an extra bed for guests.\Well, obviously.\Is that how you're going to repay milord's compassion?!\Pipe down, Ashiya. response:	You're going to make the landlord show up.
context: Th-Thanks.\Have a seat wherever.\Just so you know,\we don't have an extra bed for guests.\Well, obviously.\Is that how you're going to repay milord's compassion?!\Pipe down, Ashiya.\You're going to make the landlord show up. response:	Use this, Emi.
context: Have a seat wherever.\Just so you know,\we don't have an extra bed for guests.\Well, obviously.\Is that how you're going to repay milord's compassion?!\Pipe down, Ashiya.\You're going to make the landlord show up.\Use this, Emi. response:	You use the same detergent as I do.
context: Just so you know,\we don't have an extra bed for guests.\Well, obviously.\Is that how you're going to repay milord's compassion?!\Pipe down, Ashiya.\You're going to make the landlord show up.\Use this, Emi.\You use the same detergent as I do. response:	Use those magazines over there if you want a pillow.
context: we don't have an extra bed for guests.\Well, obviously.\Is that how you're going to repay milord's compassion?!\Pipe down, Ashiya.\You're going to make the landlord show up.\Use this, Emi.\You use the same detergent as I do.\Use those magazines over there if you want a pillow. response:	I'll lend you a thousand yen,
context: Well, obviously.\Is that how you're going to repay milord's compassion?!\Pipe down, Ashiya.\You're going to make the landlord show up.\Use this, Emi.\You use the same detergent as I do.\Use those magazines over there if you want a pillow.\I'll lend you a thousand yen, response:	so get lost when the trains start operating again.
context: Is that how you're going to repay milord's compassion?!\Pipe down, Ashiya.\You're going to make the landlord show up.\Use this, Emi.\You use the same detergent as I do.\Use those magazines over there if you want a pillow.\I'll lend you a thousand yen,\so get lost when the trains start operating again. response:	Okay.
context: Pipe down, Ashiya.\You're going to make the landlord show up.\Use this, Emi.\You use the same detergent as I do.\Use those magazines over there if you want a pillow.\I'll lend you a thousand yen,\so get lost when the trains start operating again.\Okay. response:	Milord just lent you a thousand yen from what little we have left!
context: You're going to make the landlord show up.\Use this, Emi.\You use the same detergent as I do.\Use those magazines over there if you want a pillow.\I'll lend you a thousand yen,\so get lost when the trains start operating again.\Okay.\Milord just lent you a thousand yen from what little we have left! response:	Don't waste it!
