context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: No, it's for me to say..\Some day in the future..\in order to be entrusted again as the Concert Master by Chiaki-kun,\I'll grow to be better too.\Let's do our best together.\Yup!\Definitely...\with these same members, let's do an Oke again! response:	Come on, Ryuu-chan, say something too!
context: Some day in the future..\in order to be entrusted again as the Concert Master by Chiaki-kun,\I'll grow to be better too.\Let's do our best together.\Yup!\Definitely...\with these same members, let's do an Oke again!\Come on, Ryuu-chan, say something too! response:	I'll write letters to you!
context: in order to be entrusted again as the Concert Master by Chiaki-kun,\I'll grow to be better too.\Let's do our best together.\Yup!\Definitely...\with these same members, let's do an Oke again!\Come on, Ryuu-chan, say something too!\I'll write letters to you! response:	Make it mail instead! (=cell phone or computer mails)
context: I'll grow to be better too.\Let's do our best together.\Yup!\Definitely...\with these same members, let's do an Oke again!\Come on, Ryuu-chan, say something too!\I'll write letters to you!\Make it mail instead! (=cell phone or computer mails) response:	Heeeh??
context: Let's do our best together.\Yup!\Definitely...\with these same members, let's do an Oke again!\Come on, Ryuu-chan, say something too!\I'll write letters to you!\Make it mail instead! (=cell phone or computer mails)\Heeeh?? response:	Ah right! Well, usually people send snail mails...
context: Yup!\Definitely...\with these same members, let's do an Oke again!\Come on, Ryuu-chan, say something too!\I'll write letters to you!\Make it mail instead! (=cell phone or computer mails)\Heeeh??\Ah right! Well, usually people send snail mails... response:	(Ookouchi Mamoru is crying too)
context: Definitely...\with these same members, let's do an Oke again!\Come on, Ryuu-chan, say something too!\I'll write letters to you!\Make it mail instead! (=cell phone or computer mails)\Heeeh??\Ah right! Well, usually people send snail mails...\(Ookouchi Mamoru is crying too) response:	usual snail mails are expensive, yes!
context: with these same members, let's do an Oke again!\Come on, Ryuu-chan, say something too!\I'll write letters to you!\Make it mail instead! (=cell phone or computer mails)\Heeeh??\Ah right! Well, usually people send snail mails...\(Ookouchi Mamoru is crying too)\usual snail mails are expensive, yes! response:	Nodame-chan! Let's go to gokon!!
context: Come on, Ryuu-chan, say something too!\I'll write letters to you!\Make it mail instead! (=cell phone or computer mails)\Heeeh??\Ah right! Well, usually people send snail mails...\(Ookouchi Mamoru is crying too)\usual snail mails are expensive, yes!\Nodame-chan! Let's go to gokon!! response:	Milch!
context: I'll write letters to you!\Make it mail instead! (=cell phone or computer mails)\Heeeh??\Ah right! Well, usually people send snail mails...\(Ookouchi Mamoru is crying too)\usual snail mails are expensive, yes!\Nodame-chan! Let's go to gokon!!\Milch! response:	Long time no see!
context: Make it mail instead! (=cell phone or computer mails)\Heeeh??\Ah right! Well, usually people send snail mails...\(Ookouchi Mamoru is crying too)\usual snail mails are expensive, yes!\Nodame-chan! Let's go to gokon!!\Milch!\Long time no see! response:	So you came for us before the last piece!
context: Heeeh??\Ah right! Well, usually people send snail mails...\(Ookouchi Mamoru is crying too)\usual snail mails are expensive, yes!\Nodame-chan! Let's go to gokon!!\Milch!\Long time no see!\So you came for us before the last piece! response:	Please see Chiaki-Senpai! The others will certainly be very glad to see you!
context: Ah right! Well, usually people send snail mails...\(Ookouchi Mamoru is crying too)\usual snail mails are expensive, yes!\Nodame-chan! Let's go to gokon!!\Milch!\Long time no see!\So you came for us before the last piece!\Please see Chiaki-Senpai! The others will certainly be very glad to see you! response:	There's no need for that.
context: (Ookouchi Mamoru is crying too)\usual snail mails are expensive, yes!\Nodame-chan! Let's go to gokon!!\Milch!\Long time no see!\So you came for us before the last piece!\Please see Chiaki-Senpai! The others will certainly be very glad to see you!\There's no need for that. response:	Eh?
context: usual snail mails are expensive, yes!\Nodame-chan! Let's go to gokon!!\Milch!\Long time no see!\So you came for us before the last piece!\Please see Chiaki-Senpai! The others will certainly be very glad to see you!\There's no need for that.\Eh? response:	If it's Chiaki, there will be no problem!
context: Nodame-chan! Let's go to gokon!!\Milch!\Long time no see!\So you came for us before the last piece!\Please see Chiaki-Senpai! The others will certainly be very glad to see you!\There's no need for that.\Eh?\If it's Chiaki, there will be no problem! response:	Milch...
context: Milch!\Long time no see!\So you came for us before the last piece!\Please see Chiaki-Senpai! The others will certainly be very glad to see you!\There's no need for that.\Eh?\If it's Chiaki, there will be no problem!\Milch... response:	Nodame too, I am now ready to face music seriously!
context: Long time no see!\So you came for us before the last piece!\Please see Chiaki-Senpai! The others will certainly be very glad to see you!\There's no need for that.\Eh?\If it's Chiaki, there will be no problem!\Milch...\Nodame too, I am now ready to face music seriously! response:	That's wonderful!
context: So you came for us before the last piece!\Please see Chiaki-Senpai! The others will certainly be very glad to see you!\There's no need for that.\Eh?\If it's Chiaki, there will be no problem!\Milch...\Nodame too, I am now ready to face music seriously!\That's wonderful! response:	Nodame-chan do it
context: Please see Chiaki-Senpai! The others will certainly be very glad to see you!\There's no need for that.\Eh?\If it's Chiaki, there will be no problem!\Milch...\Nodame too, I am now ready to face music seriously!\That's wonderful!\Nodame-chan do it response:	in Nodame-chan's own style!
context: There's no need for that.\Eh?\If it's Chiaki, there will be no problem!\Milch...\Nodame too, I am now ready to face music seriously!\That's wonderful!\Nodame-chan do it\in Nodame-chan's own style! response:	Do your best!
context: Eh?\If it's Chiaki, there will be no problem!\Milch...\Nodame too, I am now ready to face music seriously!\That's wonderful!\Nodame-chan do it\in Nodame-chan's own style!\Do your best! response:	Hai!
context: If it's Chiaki, there will be no problem!\Milch...\Nodame too, I am now ready to face music seriously!\That's wonderful!\Nodame-chan do it\in Nodame-chan's own style!\Do your best!\Hai! response:	Alright!
context: Milch...\Nodame too, I am now ready to face music seriously!\That's wonderful!\Nodame-chan do it\in Nodame-chan's own style!\Do your best!\Hai!\Alright! response:	It's time to enjoy music!
context: Nodame too, I am now ready to face music seriously!\That's wonderful!\Nodame-chan do it\in Nodame-chan's own style!\Do your best!\Hai!\Alright!\It's time to enjoy music! response:	ALRIGHT!!
context: That's wonderful!\Nodame-chan do it\in Nodame-chan's own style!\Do your best!\Hai!\Alright!\It's time to enjoy music!\ALRIGHT!! response:	Alright!!!
context: Nodame-chan do it\in Nodame-chan's own style!\Do your best!\Hai!\Alright!\It's time to enjoy music!\ALRIGHT!!\Alright!!! response:	Every year, although so many music academy students graduate,
context: in Nodame-chan's own style!\Do your best!\Hai!\Alright!\It's time to enjoy music!\ALRIGHT!!\Alright!!!\Every year, although so many music academy students graduate, response:	the number of professional Oke members are limited.
context: Do your best!\Hai!\Alright!\It's time to enjoy music!\ALRIGHT!!\Alright!!!\Every year, although so many music academy students graduate,\the number of professional Oke members are limited. response:	Even if they have real ability,
