context: Master. response:	I cleaned up the elixir cauldron chamber.
context: I remember when I first came to Kunlun Mountain\I was still very immature then.\When I learned that you play the zither very well\I pestered you for a tune every day.\Do you remember that?\I do.\Speaking of which, Ye Hua has never played for me.\Does Ye Hua treat you well? response:	He treats me well, but it's different from how Master treats me.
context: I was still very immature then.\When I learned that you play the zither very well\I pestered you for a tune every day.\Do you remember that?\I do.\Speaking of which, Ye Hua has never played for me.\Does Ye Hua treat you well?\He treats me well, but it's different from how Master treats me. response:	He's also very sincere.
context: When I learned that you play the zither very well\I pestered you for a tune every day.\Do you remember that?\I do.\Speaking of which, Ye Hua has never played for me.\Does Ye Hua treat you well?\He treats me well, but it's different from how Master treats me.\He's also very sincere. response:	That's good.
context: I pestered you for a tune every day.\Do you remember that?\I do.\Speaking of which, Ye Hua has never played for me.\Does Ye Hua treat you well?\He treats me well, but it's different from how Master treats me.\He's also very sincere.\That's good. response:	It's snowing!
context: Do you remember that?\I do.\Speaking of which, Ye Hua has never played for me.\Does Ye Hua treat you well?\He treats me well, but it's different from how Master treats me.\He's also very sincere.\That's good.\It's snowing! response:	Such coincidental mishaps...
context: I do.\Speaking of which, Ye Hua has never played for me.\Does Ye Hua treat you well?\He treats me well, but it's different from how Master treats me.\He's also very sincere.\That's good.\It's snowing!\Such coincidental mishaps... response:	What is High God thinking about so hard?
context: Speaking of which, Ye Hua has never played for me.\Does Ye Hua treat you well?\He treats me well, but it's different from how Master treats me.\He's also very sincere.\That's good.\It's snowing!\Such coincidental mishaps...\What is High God thinking about so hard? response:	I just happen to recall that your mentor told me
context: Does Ye Hua treat you well?\He treats me well, but it's different from how Master treats me.\He's also very sincere.\That's good.\It's snowing!\Such coincidental mishaps...\What is High God thinking about so hard?\I just happen to recall that your mentor told me response:	about his disciples' hobby of making candied peach blossoms.
context: He treats me well, but it's different from how Master treats me.\He's also very sincere.\That's good.\It's snowing!\Such coincidental mishaps...\What is High God thinking about so hard?\I just happen to recall that your mentor told me\about his disciples' hobby of making candied peach blossoms. response:	That's just for the children.
context: He's also very sincere.\That's good.\It's snowing!\Such coincidental mishaps...\What is High God thinking about so hard?\I just happen to recall that your mentor told me\about his disciples' hobby of making candied peach blossoms.\That's just for the children. response:	They are very sweet. Does High God like them?
context: That's good.\It's snowing!\Such coincidental mishaps...\What is High God thinking about so hard?\I just happen to recall that your mentor told me\about his disciples' hobby of making candied peach blossoms.\That's just for the children.\They are very sweet. Does High God like them? response:	Really? They're very sweet?
context: It's snowing!\Such coincidental mishaps...\What is High God thinking about so hard?\I just happen to recall that your mentor told me\about his disciples' hobby of making candied peach blossoms.\That's just for the children.\They are very sweet. Does High God like them?\Really? They're very sweet? response:	That's good. Pack some for me.
context: Such coincidental mishaps...\What is High God thinking about so hard?\I just happen to recall that your mentor told me\about his disciples' hobby of making candied peach blossoms.\That's just for the children.\They are very sweet. Does High God like them?\Really? They're very sweet?\That's good. Pack some for me. response:	Zhen has always had a sweet tooth.
context: What is High God thinking about so hard?\I just happen to recall that your mentor told me\about his disciples' hobby of making candied peach blossoms.\That's just for the children.\They are very sweet. Does High God like them?\Really? They're very sweet?\That's good. Pack some for me.\Zhen has always had a sweet tooth. response:	He never takes medicine when he's sick unless it's sweet.
context: I just happen to recall that your mentor told me\about his disciples' hobby of making candied peach blossoms.\That's just for the children.\They are very sweet. Does High God like them?\Really? They're very sweet?\That's good. Pack some for me.\Zhen has always had a sweet tooth.\He never takes medicine when he's sick unless it's sweet. response:	Zhen?
context: about his disciples' hobby of making candied peach blossoms.\That's just for the children.\They are very sweet. Does High God like them?\Really? They're very sweet?\That's good. Pack some for me.\Zhen has always had a sweet tooth.\He never takes medicine when he's sick unless it's sweet.\Zhen? response:	When did High God get married?
context: That's just for the children.\They are very sweet. Does High God like them?\Really? They're very sweet?\That's good. Pack some for me.\Zhen has always had a sweet tooth.\He never takes medicine when he's sick unless it's sweet.\Zhen?\When did High God get married? response:	He's not my child.
context: They are very sweet. Does High God like them?\Really? They're very sweet?\That's good. Pack some for me.\Zhen has always had a sweet tooth.\He never takes medicine when he's sick unless it's sweet.\Zhen?\When did High God get married?\He's not my child. response:	I'm talking about High God Bai Zhen.
context: Really? They're very sweet?\That's good. Pack some for me.\Zhen has always had a sweet tooth.\He never takes medicine when he's sick unless it's sweet.\Zhen?\When did High God get married?\He's not my child.\I'm talking about High God Bai Zhen. response:	You're right.
context: That's good. Pack some for me.\Zhen has always had a sweet tooth.\He never takes medicine when he's sick unless it's sweet.\Zhen?\When did High God get married?\He's not my child.\I'm talking about High God Bai Zhen.\You're right. response:	Compared to High God Zhe Yan, High God Bai Zhen is indeed a child.
context: Zhen has always had a sweet tooth.\He never takes medicine when he's sick unless it's sweet.\Zhen?\When did High God get married?\He's not my child.\I'm talking about High God Bai Zhen.\You're right.\Compared to High God Zhe Yan, High God Bai Zhen is indeed a child. response:	I'll have some bottled for you now.
