context: Suicide. response:	The act of taking one's own life,
context: I'm leading a pathetic school life where I eat\in the bathroom by myself and the only person\I'm able to abuse is my childhood friend, Akihito.\Wait! Is it just me, or did you make it sound like,\between the two of us, I'm more pathetic?\Well then, it's about time we moved onto the main point.\You can't get to your point without an introduction, can you?\I won't be attending our club meeting today. response:	You called me down here just to tell me that?
context: in the bathroom by myself and the only person\I'm able to abuse is my childhood friend, Akihito.\Wait! Is it just me, or did you make it sound like,\between the two of us, I'm more pathetic?\Well then, it's about time we moved onto the main point.\You can't get to your point without an introduction, can you?\I won't be attending our club meeting today.\You called me down here just to tell me that? response:	Yes. So everything I say from here on is just me talking to myself.
context: I'm able to abuse is my childhood friend, Akihito.\Wait! Is it just me, or did you make it sound like,\between the two of us, I'm more pathetic?\Well then, it's about time we moved onto the main point.\You can't get to your point without an introduction, can you?\I won't be attending our club meeting today.\You called me down here just to tell me that?\Yes. So everything I say from here on is just me talking to myself. response:	Got it?
context: Wait! Is it just me, or did you make it sound like,\between the two of us, I'm more pathetic?\Well then, it's about time we moved onto the main point.\You can't get to your point without an introduction, can you?\I won't be attending our club meeting today.\You called me down here just to tell me that?\Yes. So everything I say from here on is just me talking to myself.\Got it? response:	Yeah.
context: between the two of us, I'm more pathetic?\Well then, it's about time we moved onto the main point.\You can't get to your point without an introduction, can you?\I won't be attending our club meeting today.\You called me down here just to tell me that?\Yes. So everything I say from here on is just me talking to myself.\Got it?\Yeah. response:	Could you keep quiet when I'm talking to myself?
context: Well then, it's about time we moved onto the main point.\You can't get to your point without an introduction, can you?\I won't be attending our club meeting today.\You called me down here just to tell me that?\Yes. So everything I say from here on is just me talking to myself.\Got it?\Yeah.\Could you keep quiet when I'm talking to myself? response:	What do you say?
context: You can't get to your point without an introduction, can you?\I won't be attending our club meeting today.\You called me down here just to tell me that?\Yes. So everything I say from here on is just me talking to myself.\Got it?\Yeah.\Could you keep quiet when I'm talking to myself?\What do you say? response:	Which do you want?!
context: I won't be attending our club meeting today.\You called me down here just to tell me that?\Yes. So everything I say from here on is just me talking to myself.\Got it?\Yeah.\Could you keep quiet when I'm talking to myself?\What do you say?\Which do you want?! response:	The Nase family is keeping an eye on Kuriyama Mirai.
context: You called me down here just to tell me that?\Yes. So everything I say from here on is just me talking to myself.\Got it?\Yeah.\Could you keep quiet when I'm talking to myself?\What do you say?\Which do you want?!\The Nase family is keeping an eye on Kuriyama Mirai. response:	Why?
context: Yes. So everything I say from here on is just me talking to myself.\Got it?\Yeah.\Could you keep quiet when I'm talking to myself?\What do you say?\Which do you want?!\The Nase family is keeping an eye on Kuriyama Mirai.\Why? response:	Throughout the generations, the leader of the land
context: Got it?\Yeah.\Could you keep quiet when I'm talking to myself?\What do you say?\Which do you want?!\The Nase family is keeping an eye on Kuriyama Mirai.\Why?\Throughout the generations, the leader of the land response:	has always been unwelcoming and conservative.
context: Yeah.\Could you keep quiet when I'm talking to myself?\What do you say?\Which do you want?!\The Nase family is keeping an eye on Kuriyama Mirai.\Why?\Throughout the generations, the leader of the land\has always been unwelcoming and conservative. response:	What exactly does that mean?
context: Could you keep quiet when I'm talking to myself?\What do you say?\Which do you want?!\The Nase family is keeping an eye on Kuriyama Mirai.\Why?\Throughout the generations, the leader of the land\has always been unwelcoming and conservative.\What exactly does that mean? response:	Cease all further interaction with Kuriyama Mirai.
context: What do you say?\Which do you want?!\The Nase family is keeping an eye on Kuriyama Mirai.\Why?\Throughout the generations, the leader of the land\has always been unwelcoming and conservative.\What exactly does that mean?\Cease all further interaction with Kuriyama Mirai. response:	Despite my warning, you're still going to get involved with her, huh?
context: Which do you want?!\The Nase family is keeping an eye on Kuriyama Mirai.\Why?\Throughout the generations, the leader of the land\has always been unwelcoming and conservative.\What exactly does that mean?\Cease all further interaction with Kuriyama Mirai.\Despite my warning, you're still going to get involved with her, huh? response:	Probably.
context: The Nase family is keeping an eye on Kuriyama Mirai.\Why?\Throughout the generations, the leader of the land\has always been unwelcoming and conservative.\What exactly does that mean?\Cease all further interaction with Kuriyama Mirai.\Despite my warning, you're still going to get involved with her, huh?\Probably. response:	But hey, I'm immortal!
context: Why?\Throughout the generations, the leader of the land\has always been unwelcoming and conservative.\What exactly does that mean?\Cease all further interaction with Kuriyama Mirai.\Despite my warning, you're still going to get involved with her, huh?\Probably.\But hey, I'm immortal! response:	No matter what happens, it's not like I'll die.
context: Throughout the generations, the leader of the land\has always been unwelcoming and conservative.\What exactly does that mean?\Cease all further interaction with Kuriyama Mirai.\Despite my warning, you're still going to get involved with her, huh?\Probably.\But hey, I'm immortal!\No matter what happens, it's not like I'll die. response:	If only you could die...
context: has always been unwelcoming and conservative.\What exactly does that mean?\Cease all further interaction with Kuriyama Mirai.\Despite my warning, you're still going to get involved with her, huh?\Probably.\But hey, I'm immortal!\No matter what happens, it's not like I'll die.\If only you could die... response:	What are you going to do today?
context: What exactly does that mean?\Cease all further interaction with Kuriyama Mirai.\Despite my warning, you're still going to get involved with her, huh?\Probably.\But hey, I'm immortal!\No matter what happens, it's not like I'll die.\If only you could die...\What are you going to do today? response:	I'd like to talk to you.
