context: Once in a while when I wake up response:	I find myself crying.
context: We don't have enough time! Mitsuha!\What's wrong?\His name... I can't remember his name.\Look, I have no idea. You started all this!\We can't evacuate everyone by ourselves!\Go persuade your father!\Everyone run! Go to the high school!\Oh, Mitsuha. response:	It's not a terrorist attack! What's the electric company saying?
context: What's wrong?\His name... I can't remember his name.\Look, I have no idea. You started all this!\We can't evacuate everyone by ourselves!\Go persuade your father!\Everyone run! Go to the high school!\Oh, Mitsuha.\It's not a terrorist attack! What's the electric company saying? response:	They're still checking!
context: His name... I can't remember his name.\Look, I have no idea. You started all this!\We can't evacuate everyone by ourselves!\Go persuade your father!\Everyone run! Go to the high school!\Oh, Mitsuha.\It's not a terrorist attack! What's the electric company saying?\They're still checking! response:	No forest fire yet? Are you sure?
context: Look, I have no idea. You started all this!\We can't evacuate everyone by ourselves!\Go persuade your father!\Everyone run! Go to the high school!\Oh, Mitsuha.\It's not a terrorist attack! What's the electric company saying?\They're still checking!\No forest fire yet? Are you sure? response:	Stop this broadcast! Figure out where it's coming from!
context: We can't evacuate everyone by ourselves!\Go persuade your father!\Everyone run! Go to the high school!\Oh, Mitsuha.\It's not a terrorist attack! What's the electric company saying?\They're still checking!\No forest fire yet? Are you sure?\Stop this broadcast! Figure out where it's coming from! response:	The Takayama Sensor Station called!
context: Go persuade your father!\Everyone run! Go to the high school!\Oh, Mitsuha.\It's not a terrorist attack! What's the electric company saying?\They're still checking!\No forest fire yet? Are you sure?\Stop this broadcast! Figure out where it's coming from!\The Takayama Sensor Station called! response:	The high school?
context: Everyone run! Go to the high school!\Oh, Mitsuha.\It's not a terrorist attack! What's the electric company saying?\They're still checking!\No forest fire yet? Are you sure?\Stop this broadcast! Figure out where it's coming from!\The Takayama Sensor Station called!\The high school? response:	Again, residents in the following areas, evacuate to ltomori High School....Oh!
context: Oh, Mitsuha.\It's not a terrorist attack! What's the electric company saying?\They're still checking!\No forest fire yet? Are you sure?\Stop this broadcast! Figure out where it's coming from!\The Takayama Sensor Station called!\The high school?\Again, residents in the following areas, evacuate to ltomori High School....Oh! response:	What are you doing? Turn that off!
context: It's not a terrorist attack! What's the electric company saying?\They're still checking!\No forest fire yet? Are you sure?\Stop this broadcast! Figure out where it's coming from!\The Takayama Sensor Station called!\The high school?\Again, residents in the following areas, evacuate to ltomori High School....Oh!\What are you doing? Turn that off! response:	Sayaka!
context: They're still checking!\No forest fire yet? Are you sure?\Stop this broadcast! Figure out where it's coming from!\The Takayama Sensor Station called!\The high school?\Again, residents in the following areas, evacuate to ltomori High School....Oh!\What are you doing? Turn that off!\Sayaka! response:	Oh no.
context: No forest fire yet? Are you sure?\Stop this broadcast! Figure out where it's coming from!\The Takayama Sensor Station called!\The high school?\Again, residents in the following areas, evacuate to ltomori High School....Oh!\What are you doing? Turn that off!\Sayaka!\Oh no. response:	What have you done, Sayaka!
context: Stop this broadcast! Figure out where it's coming from!\The Takayama Sensor Station called!\The high school?\Again, residents in the following areas, evacuate to ltomori High School....Oh!\What are you doing? Turn that off!\Sayaka!\Oh no.\What have you done, Sayaka! response:	This is ltomori Town Hall.
context: The Takayama Sensor Station called!\The high school?\Again, residents in the following areas, evacuate to ltomori High School....Oh!\What are you doing? Turn that off!\Sayaka!\Oh no.\What have you done, Sayaka!\This is ltomori Town Hall. response:	We are currently checking on the accident.
context: The high school?\Again, residents in the following areas, evacuate to ltomori High School....Oh!\What are you doing? Turn that off!\Sayaka!\Oh no.\What have you done, Sayaka!\This is ltomori Town Hall.\We are currently checking on the accident. response:	Please don't panic and stay where you are until further notice.
context: Again, residents in the following areas, evacuate to ltomori High School....Oh!\What are you doing? Turn that off!\Sayaka!\Oh no.\What have you done, Sayaka!\This is ltomori Town Hall.\We are currently checking on the accident.\Please don't panic and stay where you are until further notice. response:	Stay put, they said.
context: What are you doing? Turn that off!\Sayaka!\Oh no.\What have you done, Sayaka!\This is ltomori Town Hall.\We are currently checking on the accident.\Please don't panic and stay where you are until further notice.\Stay put, they said. response:	- What's going on? - So we stay put?
context: Sayaka!\Oh no.\What have you done, Sayaka!\This is ltomori Town Hall.\We are currently checking on the accident.\Please don't panic and stay where you are until further notice.\Stay put, they said.\- What's going on? - So we stay put? response:	Come on, you should all evacuate! The high school is the shelter!
context: Oh no.\What have you done, Sayaka!\This is ltomori Town Hall.\We are currently checking on the accident.\Please don't panic and stay where you are until further notice.\Stay put, they said.\- What's going on? - So we stay put?\Come on, you should all evacuate! The high school is the shelter! response:	Katsuhiko!
context: What have you done, Sayaka!\This is ltomori Town Hall.\We are currently checking on the accident.\Please don't panic and stay where you are until further notice.\Stay put, they said.\- What's going on? - So we stay put?\Come on, you should all evacuate! The high school is the shelter!\Katsuhiko! response:	What are you doing?
context: This is ltomori Town Hall.\We are currently checking on the accident.\Please don't panic and stay where you are until further notice.\Stay put, they said.\- What's going on? - So we stay put?\Come on, you should all evacuate! The high school is the shelter!\Katsuhiko!\What are you doing? response:	Sorry, Mitsuha.
context: We are currently checking on the accident.\Please don't panic and stay where you are until further notice.\Stay put, they said.\- What's going on? - So we stay put?\Come on, you should all evacuate! The high school is the shelter!\Katsuhiko!\What are you doing?\Sorry, Mitsuha. response:	It's over.
context: Please don't panic and stay where you are until further notice.\Stay put, they said.\- What's going on? - So we stay put?\Come on, you should all evacuate! The high school is the shelter!\Katsuhiko!\What are you doing?\Sorry, Mitsuha.\It's over. response:	It's really splitting apart!
context: Stay put, they said.\- What's going on? - So we stay put?\Come on, you should all evacuate! The high school is the shelter!\Katsuhiko!\What are you doing?\Sorry, Mitsuha.\It's over.\It's really splitting apart! response:	- Look at that! - Wow!
context: - What's going on? - So we stay put?\Come on, you should all evacuate! The high school is the shelter!\Katsuhiko!\What are you doing?\Sorry, Mitsuha.\It's over.\It's really splitting apart!\- Look at that! - Wow! response:	Please look! The comet has split in two.
context: Come on, you should all evacuate! The high school is the shelter!\Katsuhiko!\What are you doing?\Sorry, Mitsuha.\It's over.\It's really splitting apart!\- Look at that! - Wow!\Please look! The comet has split in two. response:	And meteors are falling!
context: Katsuhiko!\What are you doing?\Sorry, Mitsuha.\It's over.\It's really splitting apart!\- Look at that! - Wow!\Please look! The comet has split in two.\And meteors are falling! response:	Nobody predicted this.
context: What are you doing?\Sorry, Mitsuha.\It's over.\It's really splitting apart!\- Look at that! - Wow!\Please look! The comet has split in two.\And meteors are falling!\Nobody predicted this. response:	We have a magical view here.
context: Sorry, Mitsuha.\It's over.\It's really splitting apart!\- Look at that! - Wow!\Please look! The comet has split in two.\And meteors are falling!\Nobody predicted this.\We have a magical view here. response:	So the comet's nucleus split?
context: It's over.\It's really splitting apart!\- Look at that! - Wow!\Please look! The comet has split in two.\And meteors are falling!\Nobody predicted this.\We have a magical view here.\So the comet's nucleus split? response:	Did tidal forces affect...
context: It's really splitting apart!\- Look at that! - Wow!\Please look! The comet has split in two.\And meteors are falling!\Nobody predicted this.\We have a magical view here.\So the comet's nucleus split?\Did tidal forces affect... response:	The comet isn't within the Roche limit so the nucleus itself must have...
context: - Look at that! - Wow!\Please look! The comet has split in two.\And meteors are falling!\Nobody predicted this.\We have a magical view here.\So the comet's nucleus split?\Did tidal forces affect...\The comet isn't within the Roche limit so the nucleus itself must have... response:	In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994.
context: Please look! The comet has split in two.\And meteors are falling!\Nobody predicted this.\We have a magical view here.\So the comet's nucleus split?\Did tidal forces affect...\The comet isn't within the Roche limit so the nucleus itself must have...\In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994. response:	At least 21 fragments...
context: And meteors are falling!\Nobody predicted this.\We have a magical view here.\So the comet's nucleus split?\Did tidal forces affect...\The comet isn't within the Roche limit so the nucleus itself must have...\In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994.\At least 21 fragments... response:	I'm going to go look!
context: Nobody predicted this.\We have a magical view here.\So the comet's nucleus split?\Did tidal forces affect...\The comet isn't within the Roche limit so the nucleus itself must have...\In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994.\At least 21 fragments...\I'm going to go look! response:	They will probably melt before reaching the ground
context: We have a magical view here.\So the comet's nucleus split?\Did tidal forces affect...\The comet isn't within the Roche limit so the nucleus itself must have...\In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994.\At least 21 fragments...\I'm going to go look!\They will probably melt before reaching the ground response:	and the probability of a meteor hitting a residential area is small...
context: So the comet's nucleus split?\Did tidal forces affect...\The comet isn't within the Roche limit so the nucleus itself must have...\In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994.\At least 21 fragments...\I'm going to go look!\They will probably melt before reaching the ground\and the probability of a meteor hitting a residential area is small... response:	To predict the trajectory...
context: Did tidal forces affect...\The comet isn't within the Roche limit so the nucleus itself must have...\In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994.\At least 21 fragments...\I'm going to go look!\They will probably melt before reaching the ground\and the probability of a meteor hitting a residential area is small...\To predict the trajectory... response:	We stand here, witnessing a magnificent celestial event.
context: The comet isn't within the Roche limit so the nucleus itself must have...\In the past, Comet Shoemaker-Levy 9 broke and collided with Jupiter in 1994.\At least 21 fragments...\I'm going to go look!\They will probably melt before reaching the ground\and the probability of a meteor hitting a residential area is small...\To predict the trajectory...\We stand here, witnessing a magnificent celestial event. response:	We're witnessing this live.
