context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: Sir, is Hua Ye married?\From what I know, he has a wife at home.\What?\What kind of person is she?\She's a mortal.\Mortal?\Then if I marry him, he doesn't have to be a mortal anymore.\Marry him? response:	Yes. If I transfer some of my magic powers to him, he can become an immortal.
context: From what I know, he has a wife at home.\What?\What kind of person is she?\She's a mortal.\Mortal?\Then if I marry him, he doesn't have to be a mortal anymore.\Marry him?\Yes. If I transfer some of my magic powers to him, he can become an immortal. response:	That wouldn't be impossible.
context: What?\What kind of person is she?\She's a mortal.\Mortal?\Then if I marry him, he doesn't have to be a mortal anymore.\Marry him?\Yes. If I transfer some of my magic powers to him, he can become an immortal.\That wouldn't be impossible. response:	It's just that if I marry him
context: What kind of person is she?\She's a mortal.\Mortal?\Then if I marry him, he doesn't have to be a mortal anymore.\Marry him?\Yes. If I transfer some of my magic powers to him, he can become an immortal.\That wouldn't be impossible.\It's just that if I marry him response:	I'll have to be the legal wife, since I'm a princess.
context: She's a mortal.\Mortal?\Then if I marry him, he doesn't have to be a mortal anymore.\Marry him?\Yes. If I transfer some of my magic powers to him, he can become an immortal.\That wouldn't be impossible.\It's just that if I marry him\I'll have to be the legal wife, since I'm a princess. response:	He will have to divorce his mortal wife.
context: Mortal?\Then if I marry him, he doesn't have to be a mortal anymore.\Marry him?\Yes. If I transfer some of my magic powers to him, he can become an immortal.\That wouldn't be impossible.\It's just that if I marry him\I'll have to be the legal wife, since I'm a princess.\He will have to divorce his mortal wife. response:	She has to be treated that way because she's a mortal?
context: Then if I marry him, he doesn't have to be a mortal anymore.\Marry him?\Yes. If I transfer some of my magic powers to him, he can become an immortal.\That wouldn't be impossible.\It's just that if I marry him\I'll have to be the legal wife, since I'm a princess.\He will have to divorce his mortal wife.\She has to be treated that way because she's a mortal? response:	No. Sir, please don't misunderstand.
context: Marry him?\Yes. If I transfer some of my magic powers to him, he can become an immortal.\That wouldn't be impossible.\It's just that if I marry him\I'll have to be the legal wife, since I'm a princess.\He will have to divorce his mortal wife.\She has to be treated that way because she's a mortal?\No. Sir, please don't misunderstand. response:	I don't look down on mortals.
context: Yes. If I transfer some of my magic powers to him, he can become an immortal.\That wouldn't be impossible.\It's just that if I marry him\I'll have to be the legal wife, since I'm a princess.\He will have to divorce his mortal wife.\She has to be treated that way because she's a mortal?\No. Sir, please don't misunderstand.\I don't look down on mortals. response:	It's just that there are differences between mortals and immortals.
context: That wouldn't be impossible.\It's just that if I marry him\I'll have to be the legal wife, since I'm a princess.\He will have to divorce his mortal wife.\She has to be treated that way because she's a mortal?\No. Sir, please don't misunderstand.\I don't look down on mortals.\It's just that there are differences between mortals and immortals. response:	If he marries me, he has to become immortal.
context: It's just that if I marry him\I'll have to be the legal wife, since I'm a princess.\He will have to divorce his mortal wife.\She has to be treated that way because she's a mortal?\No. Sir, please don't misunderstand.\I don't look down on mortals.\It's just that there are differences between mortals and immortals.\If he marries me, he has to become immortal. response:	If he becomes immortal, he can't be with his mortal wife.
context: I'll have to be the legal wife, since I'm a princess.\He will have to divorce his mortal wife.\She has to be treated that way because she's a mortal?\No. Sir, please don't misunderstand.\I don't look down on mortals.\It's just that there are differences between mortals and immortals.\If he marries me, he has to become immortal.\If he becomes immortal, he can't be with his mortal wife. response:	It's because that's our rule.
context: He will have to divorce his mortal wife.\She has to be treated that way because she's a mortal?\No. Sir, please don't misunderstand.\I don't look down on mortals.\It's just that there are differences between mortals and immortals.\If he marries me, he has to become immortal.\If he becomes immortal, he can't be with his mortal wife.\It's because that's our rule. response:	Then we'll have to see if he wants to become immortal.
context: She has to be treated that way because she's a mortal?\No. Sir, please don't misunderstand.\I don't look down on mortals.\It's just that there are differences between mortals and immortals.\If he marries me, he has to become immortal.\If he becomes immortal, he can't be with his mortal wife.\It's because that's our rule.\Then we'll have to see if he wants to become immortal. response:	Why would a mortal not want to become an immortal?
