context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: so he flung the fan out and Pure Consort pulled him back.\They then tripped over a stool.\Your Majesty, the fan is right before you now.\What is so special about it?\I'll tell you one last time.\Should I hear such words from anyone in the harem again\it will be death penalty.\Including you. response:	If Consort Chen hadn't taken that lethal arrow for me
context: They then tripped over a stool.\Your Majesty, the fan is right before you now.\What is so special about it?\I'll tell you one last time.\Should I hear such words from anyone in the harem again\it will be death penalty.\Including you.\If Consort Chen hadn't taken that lethal arrow for me response:	I would be dead already.
context: Your Majesty, the fan is right before you now.\What is so special about it?\I'll tell you one last time.\Should I hear such words from anyone in the harem again\it will be death penalty.\Including you.\If Consort Chen hadn't taken that lethal arrow for me\I would be dead already. response:	Her affection for me is so much more than that of vying concubines.
context: What is so special about it?\I'll tell you one last time.\Should I hear such words from anyone in the harem again\it will be death penalty.\Including you.\If Consort Chen hadn't taken that lethal arrow for me\I would be dead already.\Her affection for me is so much more than that of vying concubines. response:	Where did you lock her up?
context: I'll tell you one last time.\Should I hear such words from anyone in the harem again\it will be death penalty.\Including you.\If Consort Chen hadn't taken that lethal arrow for me\I would be dead already.\Her affection for me is so much more than that of vying concubines.\Where did you lock her up? response:	She's in the Imperial Dungeon.
context: Should I hear such words from anyone in the harem again\it will be death penalty.\Including you.\If Consort Chen hadn't taken that lethal arrow for me\I would be dead already.\Her affection for me is so much more than that of vying concubines.\Where did you lock her up?\She's in the Imperial Dungeon. response:	How dare you!
context: it will be death penalty.\Including you.\If Consort Chen hadn't taken that lethal arrow for me\I would be dead already.\Her affection for me is so much more than that of vying concubines.\Where did you lock her up?\She's in the Imperial Dungeon.\How dare you! response:	Father!
context: Including you.\If Consort Chen hadn't taken that lethal arrow for me\I would be dead already.\Her affection for me is so much more than that of vying concubines.\Where did you lock her up?\She's in the Imperial Dungeon.\How dare you!\Father! response:	You have to believe me!
context: If Consort Chen hadn't taken that lethal arrow for me\I would be dead already.\Her affection for me is so much more than that of vying concubines.\Where did you lock her up?\She's in the Imperial Dungeon.\How dare you!\Father!\You have to believe me! response:	I've been wronged, Father!
context: I would be dead already.\Her affection for me is so much more than that of vying concubines.\Where did you lock her up?\She's in the Imperial Dungeon.\How dare you!\Father!\You have to believe me!\I've been wronged, Father! response:	I've been wronged.
context: Her affection for me is so much more than that of vying concubines.\Where did you lock her up?\She's in the Imperial Dungeon.\How dare you!\Father!\You have to believe me!\I've been wronged, Father!\I've been wronged. response:	I've been wronged, Father!
context: Where did you lock her up?\She's in the Imperial Dungeon.\How dare you!\Father!\You have to believe me!\I've been wronged, Father!\I've been wronged.\I've been wronged, Father! response:	Father...
context: She's in the Imperial Dungeon.\How dare you!\Father!\You have to believe me!\I've been wronged, Father!\I've been wronged.\I've been wronged, Father!\Father... response:	As long as you claim to have an adultery with Crown Prince
context: How dare you!\Father!\You have to believe me!\I've been wronged, Father!\I've been wronged.\I've been wronged, Father!\Father...\As long as you claim to have an adultery with Crown Prince response:	it will surely be a huge blow to Lord Dong Hua.
context: Father!\You have to believe me!\I've been wronged, Father!\I've been wronged.\I've been wronged, Father!\Father...\As long as you claim to have an adultery with Crown Prince\it will surely be a huge blow to Lord Dong Hua. response:	One is his only trusted son for years, and the other is his beloved concubine.
context: You have to believe me!\I've been wronged, Father!\I've been wronged.\I've been wronged, Father!\Father...\As long as you claim to have an adultery with Crown Prince\it will surely be a huge blow to Lord Dong Hua.\One is his only trusted son for years, and the other is his beloved concubine. response:	Fantastic.
context: I've been wronged, Father!\I've been wronged.\I've been wronged, Father!\Father...\As long as you claim to have an adultery with Crown Prince\it will surely be a huge blow to Lord Dong Hua.\One is his only trusted son for years, and the other is his beloved concubine.\Fantastic. response:	It's even better than those written playscripts.
context: I've been wronged.\I've been wronged, Father!\Father...\As long as you claim to have an adultery with Crown Prince\it will surely be a huge blow to Lord Dong Hua.\One is his only trusted son for years, and the other is his beloved concubine.\Fantastic.\It's even better than those written playscripts. response:	If you do so, my aunt would have come here for nothing.
context: I've been wronged, Father!\Father...\As long as you claim to have an adultery with Crown Prince\it will surely be a huge blow to Lord Dong Hua.\One is his only trusted son for years, and the other is his beloved concubine.\Fantastic.\It's even better than those written playscripts.\If you do so, my aunt would have come here for nothing. response:	It's still the adultery between his son and concubine that sow a discord.
context: Father...\As long as you claim to have an adultery with Crown Prince\it will surely be a huge blow to Lord Dong Hua.\One is his only trusted son for years, and the other is his beloved concubine.\Fantastic.\It's even better than those written playscripts.\If you do so, my aunt would have come here for nothing.\It's still the adultery between his son and concubine that sow a discord. response:	However hard we try we can't get past our predestined fate.
context: As long as you claim to have an adultery with Crown Prince\it will surely be a huge blow to Lord Dong Hua.\One is his only trusted son for years, and the other is his beloved concubine.\Fantastic.\It's even better than those written playscripts.\If you do so, my aunt would have come here for nothing.\It's still the adultery between his son and concubine that sow a discord.\However hard we try we can't get past our predestined fate. response:	Forget about Yuan Zhen's predicament.
context: it will surely be a huge blow to Lord Dong Hua.\One is his only trusted son for years, and the other is his beloved concubine.\Fantastic.\It's even better than those written playscripts.\If you do so, my aunt would have come here for nothing.\It's still the adultery between his son and concubine that sow a discord.\However hard we try we can't get past our predestined fate.\Forget about Yuan Zhen's predicament. response:	What matters is to fulfill Lord Dong Hua's wish
context: One is his only trusted son for years, and the other is his beloved concubine.\Fantastic.\It's even better than those written playscripts.\If you do so, my aunt would have come here for nothing.\It's still the adultery between his son and concubine that sow a discord.\However hard we try we can't get past our predestined fate.\Forget about Yuan Zhen's predicament.\What matters is to fulfill Lord Dong Hua's wish response:	to overcome his heavenly trial of love.
context: Fantastic.\It's even better than those written playscripts.\If you do so, my aunt would have come here for nothing.\It's still the adultery between his son and concubine that sow a discord.\However hard we try we can't get past our predestined fate.\Forget about Yuan Zhen's predicament.\What matters is to fulfill Lord Dong Hua's wish\to overcome his heavenly trial of love. response:	Greetings to Your Majesty.
context: It's even better than those written playscripts.\If you do so, my aunt would have come here for nothing.\It's still the adultery between his son and concubine that sow a discord.\However hard we try we can't get past our predestined fate.\Forget about Yuan Zhen's predicament.\What matters is to fulfill Lord Dong Hua's wish\to overcome his heavenly trial of love.\Greetings to Your Majesty. response:	Father...
context: If you do so, my aunt would have come here for nothing.\It's still the adultery between his son and concubine that sow a discord.\However hard we try we can't get past our predestined fate.\Forget about Yuan Zhen's predicament.\What matters is to fulfill Lord Dong Hua's wish\to overcome his heavenly trial of love.\Greetings to Your Majesty.\Father... response:	Father...
