context: This is a story about my father, my mother, and me. response:	About our family of three.
context: Goto.\I know you want to see her,\but wouldn't she worry if she saw you like this?\You're right\I can't let her see me like this.\That's right.\First you need rehab so you can be healthy again.\And right now you can pretty much only move your fingers freely. response:	My fingers?
context: I know you want to see her,\but wouldn't she worry if she saw you like this?\You're right\I can't let her see me like this.\That's right.\First you need rehab so you can be healthy again.\And right now you can pretty much only move your fingers freely.\My fingers? response:	Then
context: but wouldn't she worry if she saw you like this?\You're right\I can't let her see me like this.\That's right.\First you need rehab so you can be healthy again.\And right now you can pretty much only move your fingers freely.\My fingers?\Then response:	I need to at least work on Tights! The readers deserve more!
context: You're right\I can't let her see me like this.\That's right.\First you need rehab so you can be healthy again.\And right now you can pretty much only move your fingers freely.\My fingers?\Then\I need to at least work on Tights! The readers deserve more! response:	Oh, that one? It's been a while since we can
context: I can't let her see me like this.\That's right.\First you need rehab so you can be healthy again.\And right now you can pretty much only move your fingers freely.\My fingers?\Then\I need to at least work on Tights! The readers deserve more!\Oh, that one? It's been a while since we can response:	Concluded it?
context: That's right.\First you need rehab so you can be healthy again.\And right now you can pretty much only move your fingers freely.\My fingers?\Then\I need to at least work on Tights! The readers deserve more!\Oh, that one? It's been a while since we can\Concluded it? response:	He thinks it's still being serialized.
context: First you need rehab so you can be healthy again.\And right now you can pretty much only move your fingers freely.\My fingers?\Then\I need to at least work on Tights! The readers deserve more!\Oh, that one? It's been a while since we can\Concluded it?\He thinks it's still being serialized. response:	We should tell him the truth.
context: And right now you can pretty much only move your fingers freely.\My fingers?\Then\I need to at least work on Tights! The readers deserve more!\Oh, that one? It's been a while since we can\Concluded it?\He thinks it's still being serialized.\We should tell him the truth. response:	It'd be too much of a shock for him.
context: My fingers?\Then\I need to at least work on Tights! The readers deserve more!\Oh, that one? It's been a while since we can\Concluded it?\He thinks it's still being serialized.\We should tell him the truth.\It'd be too much of a shock for him. response:	Uh what should we do here?
context: Then\I need to at least work on Tights! The readers deserve more!\Oh, that one? It's been a while since we can\Concluded it?\He thinks it's still being serialized.\We should tell him the truth.\It'd be too much of a shock for him.\Uh what should we do here? response:	Why'd it come to this?
context: I need to at least work on Tights! The readers deserve more!\Oh, that one? It's been a while since we can\Concluded it?\He thinks it's still being serialized.\We should tell him the truth.\It'd be too much of a shock for him.\Uh what should we do here?\Why'd it come to this? response:	It's been a while since we worked together like this.
context: Oh, that one? It's been a while since we can\Concluded it?\He thinks it's still being serialized.\We should tell him the truth.\It'd be too much of a shock for him.\Uh what should we do here?\Why'd it come to this?\It's been a while since we worked together like this. response:	I never thought I'd hold a pen like this again.
context: Concluded it?\He thinks it's still being serialized.\We should tell him the truth.\It'd be too much of a shock for him.\Uh what should we do here?\Why'd it come to this?\It's been a while since we worked together like this.\I never thought I'd hold a pen like this again. response:	Is this what Dad's job was like?
context: He thinks it's still being serialized.\We should tell him the truth.\It'd be too much of a shock for him.\Uh what should we do here?\Why'd it come to this?\It's been a while since we worked together like this.\I never thought I'd hold a pen like this again.\Is this what Dad's job was like? response:	Hey, you.
context: We should tell him the truth.\It'd be too much of a shock for him.\Uh what should we do here?\Why'd it come to this?\It's been a while since we worked together like this.\I never thought I'd hold a pen like this again.\Is this what Dad's job was like?\Hey, you. response:	Yes?
context: It'd be too much of a shock for him.\Uh what should we do here?\Why'd it come to this?\It's been a while since we worked together like this.\I never thought I'd hold a pen like this again.\Is this what Dad's job was like?\Hey, you.\Yes? response:	You're a new assistant?
context: Uh what should we do here?\Why'd it come to this?\It's been a while since we worked together like this.\I never thought I'd hold a pen like this again.\Is this what Dad's job was like?\Hey, you.\Yes?\You're a new assistant? response:	Uh, well yes?
context: Why'd it come to this?\It's been a while since we worked together like this.\I never thought I'd hold a pen like this again.\Is this what Dad's job was like?\Hey, you.\Yes?\You're a new assistant?\Uh, well yes? response:	I can't leave right now,
context: It's been a while since we worked together like this.\I never thought I'd hold a pen like this again.\Is this what Dad's job was like?\Hey, you.\Yes?\You're a new assistant?\Uh, well yes?\I can't leave right now, response:	so I'm sorry, but I need you to do something.
context: I never thought I'd hold a pen like this again.\Is this what Dad's job was like?\Hey, you.\Yes?\You're a new assistant?\Uh, well yes?\I can't leave right now,\so I'm sorry, but I need you to do something. response:	What is it?
context: Is this what Dad's job was like?\Hey, you.\Yes?\You're a new assistant?\Uh, well yes?\I can't leave right now,\so I'm sorry, but I need you to do something.\What is it? response:	I'm worried for my daughter, Hime.
context: Hey, you.\Yes?\You're a new assistant?\Uh, well yes?\I can't leave right now,\so I'm sorry, but I need you to do something.\What is it?\I'm worried for my daughter, Hime. response:	Before the housekeeper gets to the house,
context: Yes?\You're a new assistant?\Uh, well yes?\I can't leave right now,\so I'm sorry, but I need you to do something.\What is it?\I'm worried for my daughter, Hime.\Before the housekeeper gets to the house, response:	Hime's fine alone, but could you watch over her?
context: You're a new assistant?\Uh, well yes?\I can't leave right now,\so I'm sorry, but I need you to do something.\What is it?\I'm worried for my daughter, Hime.\Before the housekeeper gets to the house,\Hime's fine alone, but could you watch over her? response:	I asked Tomaruin last time, but he was no help.
context: Uh, well yes?\I can't leave right now,\so I'm sorry, but I need you to do something.\What is it?\I'm worried for my daughter, Hime.\Before the housekeeper gets to the house,\Hime's fine alone, but could you watch over her?\I asked Tomaruin last time, but he was no help. response:	That hurts.
