context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: Let's discuss the betrothal gifts and welcoming ceremony rituals.\- This is an important occasion. - Yes.\Father, don't rejoice too soon.\Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.\Why?\Yingzhou of the Eastern Sea's four mythical beasts\inherited half of the Heavenly Father's powers.\However, Ye Hua had them slayed. response:	That's great disrespect to the Heavenly Father.
context: - This is an important occasion. - Yes.\Father, don't rejoice too soon.\Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.\Why?\Yingzhou of the Eastern Sea's four mythical beasts\inherited half of the Heavenly Father's powers.\However, Ye Hua had them slayed.\That's great disrespect to the Heavenly Father. response:	I've looked into the regulations.
context: Father, don't rejoice too soon.\Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.\Why?\Yingzhou of the Eastern Sea's four mythical beasts\inherited half of the Heavenly Father's powers.\However, Ye Hua had them slayed.\That's great disrespect to the Heavenly Father.\I've looked into the regulations. response:	Ye Hua should go to the Mortal Realm for a heavenly trial.
context: Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.\Why?\Yingzhou of the Eastern Sea's four mythical beasts\inherited half of the Heavenly Father's powers.\However, Ye Hua had them slayed.\That's great disrespect to the Heavenly Father.\I've looked into the regulations.\Ye Hua should go to the Mortal Realm for a heavenly trial. response:	No one else took that to heart.
context: Why?\Yingzhou of the Eastern Sea's four mythical beasts\inherited half of the Heavenly Father's powers.\However, Ye Hua had them slayed.\That's great disrespect to the Heavenly Father.\I've looked into the regulations.\Ye Hua should go to the Mortal Realm for a heavenly trial.\No one else took that to heart. response:	Stop bringing up that minor mistake our son made.
context: Yingzhou of the Eastern Sea's four mythical beasts\inherited half of the Heavenly Father's powers.\However, Ye Hua had them slayed.\That's great disrespect to the Heavenly Father.\I've looked into the regulations.\Ye Hua should go to the Mortal Realm for a heavenly trial.\No one else took that to heart.\Stop bringing up that minor mistake our son made. response:	The Celestial Tribe has our law to abide by.
context: inherited half of the Heavenly Father's powers.\However, Ye Hua had them slayed.\That's great disrespect to the Heavenly Father.\I've looked into the regulations.\Ye Hua should go to the Mortal Realm for a heavenly trial.\No one else took that to heart.\Stop bringing up that minor mistake our son made.\The Celestial Tribe has our law to abide by. response:	He should be punished for his mistake.
context: However, Ye Hua had them slayed.\That's great disrespect to the Heavenly Father.\I've looked into the regulations.\Ye Hua should go to the Mortal Realm for a heavenly trial.\No one else took that to heart.\Stop bringing up that minor mistake our son made.\The Celestial Tribe has our law to abide by.\He should be punished for his mistake. response:	You're such a grinch for bringing this matter up
context: That's great disrespect to the Heavenly Father.\I've looked into the regulations.\Ye Hua should go to the Mortal Realm for a heavenly trial.\No one else took that to heart.\Stop bringing up that minor mistake our son made.\The Celestial Tribe has our law to abide by.\He should be punished for his mistake.\You're such a grinch for bringing this matter up response:	when we're discussing such a joyous event.
context: I've looked into the regulations.\Ye Hua should go to the Mortal Realm for a heavenly trial.\No one else took that to heart.\Stop bringing up that minor mistake our son made.\The Celestial Tribe has our law to abide by.\He should be punished for his mistake.\You're such a grinch for bringing this matter up\when we're discussing such a joyous event. response:	Ye Hua, your father is right.
context: Ye Hua should go to the Mortal Realm for a heavenly trial.\No one else took that to heart.\Stop bringing up that minor mistake our son made.\The Celestial Tribe has our law to abide by.\He should be punished for his mistake.\You're such a grinch for bringing this matter up\when we're discussing such a joyous event.\Ye Hua, your father is right. response:	You destroyed what once belonged to the Heavenly Father
context: No one else took that to heart.\Stop bringing up that minor mistake our son made.\The Celestial Tribe has our law to abide by.\He should be punished for his mistake.\You're such a grinch for bringing this matter up\when we're discussing such a joyous event.\Ye Hua, your father is right.\You destroyed what once belonged to the Heavenly Father response:	so you need to withstand a heavenly trial.
context: Stop bringing up that minor mistake our son made.\The Celestial Tribe has our law to abide by.\He should be punished for his mistake.\You're such a grinch for bringing this matter up\when we're discussing such a joyous event.\Ye Hua, your father is right.\You destroyed what once belonged to the Heavenly Father\so you need to withstand a heavenly trial. response:	I understand.
context: The Celestial Tribe has our law to abide by.\He should be punished for his mistake.\You're such a grinch for bringing this matter up\when we're discussing such a joyous event.\Ye Hua, your father is right.\You destroyed what once belonged to the Heavenly Father\so you need to withstand a heavenly trial.\I understand. response:	But you destroyed the divine fungal grass and that makes up for your mistake.
context: He should be punished for his mistake.\You're such a grinch for bringing this matter up\when we're discussing such a joyous event.\Ye Hua, your father is right.\You destroyed what once belonged to the Heavenly Father\so you need to withstand a heavenly trial.\I understand.\But you destroyed the divine fungal grass and that makes up for your mistake. response:	I'll send you to the Mortal Realm but not for a heavenly trial.
context: You're such a grinch for bringing this matter up\when we're discussing such a joyous event.\Ye Hua, your father is right.\You destroyed what once belonged to the Heavenly Father\so you need to withstand a heavenly trial.\I understand.\But you destroyed the divine fungal grass and that makes up for your mistake.\I'll send you to the Mortal Realm but not for a heavenly trial. response:	I'll have the Star Lord leave a blank space in your Book of Destiny.
context: when we're discussing such a joyous event.\Ye Hua, your father is right.\You destroyed what once belonged to the Heavenly Father\so you need to withstand a heavenly trial.\I understand.\But you destroyed the divine fungal grass and that makes up for your mistake.\I'll send you to the Mortal Realm but not for a heavenly trial.\I'll have the Star Lord leave a blank space in your Book of Destiny. response:	Whatever happens, happens.
