context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: A beginning that started much too slowly. Why is she so light?\Why is she so light?\The beginning of confusion. Were her arms this thin?\Were her arms this thin?\Were her arms this thin? The beginning of suffering.\Were her arms this thin?\Were her arms this thin? The beginning of joy.\The beginning of joy. response:	The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.
context: Why is she so light?\The beginning of confusion. Were her arms this thin?\Were her arms this thin?\Were her arms this thin? The beginning of suffering.\Were her arms this thin?\Were her arms this thin? The beginning of joy.\The beginning of joy.\The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself. response:	Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.
context: The beginning of confusion. Were her arms this thin?\Were her arms this thin?\Were her arms this thin? The beginning of suffering.\Were her arms this thin?\Were her arms this thin? The beginning of joy.\The beginning of joy.\The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself. response:	The beginning of sadness.
context: Were her arms this thin?\Were her arms this thin? The beginning of suffering.\Were her arms this thin?\Were her arms this thin? The beginning of joy.\The beginning of joy.\The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\The beginning of sadness. response:	The beginning of sadness. That's why I always thought that she would be absolutely strong.
context: Were her arms this thin? The beginning of suffering.\Were her arms this thin?\Were her arms this thin? The beginning of joy.\The beginning of joy.\The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\The beginning of sadness.\The beginning of sadness. That's why I always thought that she would be absolutely strong. response:	That's why I always thought that she would be absolutely strong.
context: Were her arms this thin?\Were her arms this thin? The beginning of joy.\The beginning of joy.\The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\The beginning of sadness.\The beginning of sadness. That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. response:	That's why I always thought that she would be absolutely strong. The beginning of retreat.
context: Were her arms this thin? The beginning of joy.\The beginning of joy.\The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\The beginning of sadness.\The beginning of sadness. That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. The beginning of retreat. response:	The beginning of retreat.
context: The beginning of joy.\The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\The beginning of sadness.\The beginning of sadness. That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. The beginning of retreat.\The beginning of retreat. response:	The beginning of retreat. Why didn't I realize it all along?
context: The beginning of joy. Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\The beginning of sadness.\The beginning of sadness. That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. The beginning of retreat.\The beginning of retreat.\The beginning of retreat. Why didn't I realize it all along? response:	Boink
context: Yeah, this image of Sakura that's burned into my memory is aggressively more powerful than myself.\The beginning of sadness.\The beginning of sadness. That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. The beginning of retreat.\The beginning of retreat.\The beginning of retreat. Why didn't I realize it all along?\Boink response:	You.
context: The beginning of sadness.\The beginning of sadness. That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. The beginning of retreat.\The beginning of retreat.\The beginning of retreat. Why didn't I realize it all along?\Boink\You. response:	You help me, then you throw me.
context: The beginning of sadness. That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. The beginning of retreat.\The beginning of retreat.\The beginning of retreat. Why didn't I realize it all along?\Boink\You.\You help me, then you throw me. response:	Hey.
context: That's why I always thought that she would be absolutely strong.\That's why I always thought that she would be absolutely strong. The beginning of retreat.\The beginning of retreat.\The beginning of retreat. Why didn't I realize it all along?\Boink\You.\You help me, then you throw me.\Hey. response:	He came to realize.
context: That's why I always thought that she would be absolutely strong. The beginning of retreat.\The beginning of retreat.\The beginning of retreat. Why didn't I realize it all along?\Boink\You.\You help me, then you throw me.\Hey.\He came to realize. response:	He came to realize. A long time ago, there was no sexual difference between us.
context: The beginning of retreat.\The beginning of retreat. Why didn't I realize it all along?\Boink\You.\You help me, then you throw me.\Hey.\He came to realize.\He came to realize. A long time ago, there was no sexual difference between us. response:	A long time ago, there was no sexual difference between us.
