context: You can ask me about anything you'd like. I'll do whatever I can to help. response:	This is the broom you're provided with by the school.
context: keshiki wa kawatteiku kedo\But under this shining sky\kagayaku sora to\But under this shining sky\kagayaku sora to\But under this shining sky\kagayaku sora to\I'll never let go of the treasures we collected together response:	meguriatta takaramono itsumademo hanasanai yo
context: But under this shining sky\kagayaku sora to\But under this shining sky\kagayaku sora to\But under this shining sky\kagayaku sora to\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo response:	I'll never let go of the treasures we collected together
context: kagayaku sora to\But under this shining sky\kagayaku sora to\But under this shining sky\kagayaku sora to\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together response:	meguriatta takaramono itsumademo hanasanai yo
context: But under this shining sky\kagayaku sora to\But under this shining sky\kagayaku sora to\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo response:	I'll never let go of the treasures we collected together
context: kagayaku sora to\But under this shining sky\kagayaku sora to\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together response:	meguriatta takaramono itsumademo hanasanai yo
context: But under this shining sky\kagayaku sora to\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo response:	Through the tears and laughter, eating and sleeping
context: kagayaku sora to\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\Through the tears and laughter, eating and sleeping response:	sou naite waratte tabete nete mo
context: I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo response:	Through the tears and laughter, eating and sleeping
context: meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping response:	sou naite waratte tabete nete mo
context: I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo response:	Through the tears and laughter, eating and sleeping
context: meguriatta takaramono itsumademo hanasanai yo\I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping response:	sou naite waratte tabete nete mo
context: I'll never let go of the treasures we collected together\meguriatta takaramono itsumademo hanasanai yo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo response:	And all of the times we were beset by worries
context: meguriatta takaramono itsumademo hanasanai yo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\And all of the times we were beset by worries response:	kuyo kuyo shichaisou na toki demo
context: Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo response:	And all of the times we were beset by worries
context: sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries response:	kuyo kuyo shichaisou na toki demo
context: Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo response:	And all of the times we were beset by worries
context: sou naite waratte tabete nete mo\Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries response:	kuyo kuyo shichaisou na toki demo
context: Through the tears and laughter, eating and sleeping\sou naite waratte tabete nete mo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo response:	Thank you for staying by my side
context: sou naite waratte tabete nete mo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\Thank you for staying by my side response:	soba ni itekurete arigatou
context: And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\Thank you for staying by my side\soba ni itekurete arigatou response:	Thank you for staying by my side
context: kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side response:	soba ni itekurete arigatou
context: And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou response:	Thank you for staying by my side
context: kuyo kuyo shichaisou na toki demo\And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side response:	soba ni itekurete arigatou
context: And all of the times we were beset by worries\kuyo kuyo shichaisou na toki demo\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou response:	See you tomorrow
context: kuyo kuyo shichaisou na toki demo\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\See you tomorrow response:	mata ashita ne
context: Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\See you tomorrow\mata ashita ne response:	See you tomorrow
context: soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\See you tomorrow\mata ashita ne\See you tomorrow response:	mata ashita ne
context: Thank you for staying by my side\soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\See you tomorrow\mata ashita ne\See you tomorrow\mata ashita ne response:	See you tomorrow
context: soba ni itekurete arigatou\Thank you for staying by my side\soba ni itekurete arigatou\See you tomorrow\mata ashita ne\See you tomorrow\mata ashita ne\See you tomorrow response:	mata ashita ne
