context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: You learned to pick fruit from Xiao Jiu herself. You pick.\Then let's have half a basket from here.\Lord Ye Hua, youre back.\Good timing. We're eating loquats for lunch today. Would you like to join us?\A-Li is growing right now. This is all you're feeding him?\Do you like to eat these?\Yes.\Where can we find meat and produce? response:	- Do you still want the loquats? - Yes!
context: Then let's have half a basket from here.\Lord Ye Hua, youre back.\Good timing. We're eating loquats for lunch today. Would you like to join us?\A-Li is growing right now. This is all you're feeding him?\Do you like to eat these?\Yes.\Where can we find meat and produce?\- Do you still want the loquats? - Yes! response:	Look.
context: Lord Ye Hua, youre back.\Good timing. We're eating loquats for lunch today. Would you like to join us?\A-Li is growing right now. This is all you're feeding him?\Do you like to eat these?\Yes.\Where can we find meat and produce?\- Do you still want the loquats? - Yes!\Look. response:	- He's so handsome! - Yes.
context: Good timing. We're eating loquats for lunch today. Would you like to join us?\A-Li is growing right now. This is all you're feeding him?\Do you like to eat these?\Yes.\Where can we find meat and produce?\- Do you still want the loquats? - Yes!\Look.\- He's so handsome! - Yes. response:	Look, the young child calls our queen Mother.
context: A-Li is growing right now. This is all you're feeding him?\Do you like to eat these?\Yes.\Where can we find meat and produce?\- Do you still want the loquats? - Yes!\Look.\- He's so handsome! - Yes.\Look, the young child calls our queen Mother. response:	Yes, and he calls the man Father.
context: Do you like to eat these?\Yes.\Where can we find meat and produce?\- Do you still want the loquats? - Yes!\Look.\- He's so handsome! - Yes.\Look, the young child calls our queen Mother.\Yes, and he calls the man Father. response:	Aunt! Aunt, you're back!
context: Yes.\Where can we find meat and produce?\- Do you still want the loquats? - Yes!\Look.\- He's so handsome! - Yes.\Look, the young child calls our queen Mother.\Yes, and he calls the man Father.\Aunt! Aunt, you're back! response:	These two fish are a present for you, Aunt.
context: Where can we find meat and produce?\- Do you still want the loquats? - Yes!\Look.\- He's so handsome! - Yes.\Look, the young child calls our queen Mother.\Yes, and he calls the man Father.\Aunt! Aunt, you're back!\These two fish are a present for you, Aunt. response:	Take them home and stew them to nourish your body.
context: - Do you still want the loquats? - Yes!\Look.\- He's so handsome! - Yes.\Look, the young child calls our queen Mother.\Yes, and he calls the man Father.\Aunt! Aunt, you're back!\These two fish are a present for you, Aunt.\Take them home and stew them to nourish your body. response:	Thank you.
context: Look.\- He's so handsome! - Yes.\Look, the young child calls our queen Mother.\Yes, and he calls the man Father.\Aunt! Aunt, you're back!\These two fish are a present for you, Aunt.\Take them home and stew them to nourish your body.\Thank you. response:	She's been looking after a child by herself.
context: - He's so handsome! - Yes.\Look, the young child calls our queen Mother.\Yes, and he calls the man Father.\Aunt! Aunt, you're back!\These two fish are a present for you, Aunt.\Take them home and stew them to nourish your body.\Thank you.\She's been looking after a child by herself. response:	She should indeed have some nourishment.
context: Look, the young child calls our queen Mother.\Yes, and he calls the man Father.\Aunt! Aunt, you're back!\These two fish are a present for you, Aunt.\Take them home and stew them to nourish your body.\Thank you.\She's been looking after a child by herself.\She should indeed have some nourishment. response:	Go cook.
context: Yes, and he calls the man Father.\Aunt! Aunt, you're back!\These two fish are a present for you, Aunt.\Take them home and stew them to nourish your body.\Thank you.\She's been looking after a child by herself.\She should indeed have some nourishment.\Go cook. response:	Aunt, you clearly know... you clearly know I can't cook.
context: Aunt! Aunt, you're back!\These two fish are a present for you, Aunt.\Take them home and stew them to nourish your body.\Thank you.\She's been looking after a child by herself.\She should indeed have some nourishment.\Go cook.\Aunt, you clearly know... you clearly know I can't cook. response:	There's a first time for everything.
context: These two fish are a present for you, Aunt.\Take them home and stew them to nourish your body.\Thank you.\She's been looking after a child by herself.\She should indeed have some nourishment.\Go cook.\Aunt, you clearly know... you clearly know I can't cook.\There's a first time for everything. response:	You could even survive a trial of lightning bolts.
context: Take them home and stew them to nourish your body.\Thank you.\She's been looking after a child by herself.\She should indeed have some nourishment.\Go cook.\Aunt, you clearly know... you clearly know I can't cook.\There's a first time for everything.\You could even survive a trial of lightning bolts. response:	I believe in you.
context: Thank you.\She's been looking after a child by herself.\She should indeed have some nourishment.\Go cook.\Aunt, you clearly know... you clearly know I can't cook.\There's a first time for everything.\You could even survive a trial of lightning bolts.\I believe in you. response:	Mother, I'm hungry.
context: She's been looking after a child by herself.\She should indeed have some nourishment.\Go cook.\Aunt, you clearly know... you clearly know I can't cook.\There's a first time for everything.\You could even survive a trial of lightning bolts.\I believe in you.\Mother, I'm hungry. response:	Aunt, please spare me.
context: She should indeed have some nourishment.\Go cook.\Aunt, you clearly know... you clearly know I can't cook.\There's a first time for everything.\You could even survive a trial of lightning bolts.\I believe in you.\Mother, I'm hungry.\Aunt, please spare me. response:	I am a tree spirit. I am deathly afraid of fire.
context: Go cook.\Aunt, you clearly know... you clearly know I can't cook.\There's a first time for everything.\You could even survive a trial of lightning bolts.\I believe in you.\Mother, I'm hungry.\Aunt, please spare me.\I am a tree spirit. I am deathly afraid of fire. response:	I know, but I'm not telling you to burn yourself like firewood.
context: Aunt, you clearly know... you clearly know I can't cook.\There's a first time for everything.\You could even survive a trial of lightning bolts.\I believe in you.\Mother, I'm hungry.\Aunt, please spare me.\I am a tree spirit. I am deathly afraid of fire.\I know, but I'm not telling you to burn yourself like firewood. response:	A-Li is hungry now.
context: There's a first time for everything.\You could even survive a trial of lightning bolts.\I believe in you.\Mother, I'm hungry.\Aunt, please spare me.\I am a tree spirit. I am deathly afraid of fire.\I know, but I'm not telling you to burn yourself like firewood.\A-Li is hungry now. response:	I truly do not understand you.
context: You could even survive a trial of lightning bolts.\I believe in you.\Mother, I'm hungry.\Aunt, please spare me.\I am a tree spirit. I am deathly afraid of fire.\I know, but I'm not telling you to burn yourself like firewood.\A-Li is hungry now.\I truly do not understand you. response:	Qing Qiu is clearly a land of immortals
context: I believe in you.\Mother, I'm hungry.\Aunt, please spare me.\I am a tree spirit. I am deathly afraid of fire.\I know, but I'm not telling you to burn yourself like firewood.\A-Li is hungry now.\I truly do not understand you.\Qing Qiu is clearly a land of immortals response:	but you manage it like the mortal realm.
